episode,avg_return,avg_cost,success_rate
1,-26.29355305367365,0.0,1.0
2,-11.758777514235197,0.0,1.0
3,-23.435206516828007,0.0,1.0
4,-24.20675593639835,0.0,1.0
5,-17.573298073482935,0.0,1.0
6,-13.360332185771327,0.0,1.0
7,-19.581221542547148,0.0,1.0
8,-11.083365095797825,0.0,1.0
9,-17.109634152363864,0.0,1.0
10,-18.749677479764735,0.0,1.0
11,-22.856227064232424,0.0,1.0
12,-22.792315890402104,0.0,1.0
13,-59.076994242817,0.0,1.0
14,-18.2614720056554,0.0,1.0
15,-28.405476104110644,0.0,1.0
16,-49.78703755187059,0.0,1.0
17,-31.41182916215364,0.0,1.0
18,-19.02619839480913,0.0,1.0
19,-33.856979855392126,0.0,1.0
20,-33.106372171524804,0.0,1.0
21,-14.155380151665158,0.0,1.0
22,-23.599951575788094,0.0,1.0
23,-24.170693417024847,0.0,1.0
24,-37.49347865555114,0.0,1.0
25,-22.638477021922636,0.0,1.0
26,-23.470258568170646,0.0,1.0
27,-27.504817376157607,0.0,1.0
28,-18.533715049287654,0.0,1.0
29,-20.621849538913782,0.0,1.0
30,-27.287242732931826,0.0,1.0
31,-17.11203985469979,0.0,1.0
32,-15.653279121136363,0.0,1.0
33,-18.540798401273765,0.0,1.0
34,-18.908316741333792,0.0,1.0
35,-28.978557407998675,0.0,1.0
36,-23.922085021826806,0.0,1.0
37,-31.41966885418947,0.0,1.0
38,-16.496848951492616,0.0,1.0
39,-23.871532578270237,0.0,1.0
40,-17.60486206213906,0.0,1.0
41,-18.917772716619726,0.0,1.0
42,-25.94355135751186,0.0,1.0
43,-48.09850118873974,0.0,1.0
44,-23.22349345868604,0.0,1.0
45,-31.134151860451016,0.0,1.0
46,-28.289568980202016,0.0,1.0
47,-16.596346516178954,0.0,1.0
48,-48.08500586968921,0.0,1.0
49,-23.274356771632778,0.0,1.0
50,-20.641695558897567,0.0,1.0
51,-23.047388162801997,0.0,1.0
52,-19.602180165836614,0.0,1.0
53,-19.6923739718403,0.0,1.0
54,-18.34193841780635,0.0,1.0
55,-29.08561058780531,0.0,1.0
56,-21.462306176599252,0.0,1.0
57,-37.46364861229278,0.0,1.0
58,-33.784478002170445,0.0,1.0
59,-33.38509721427462,0.0,1.0
60,-29.619469853436147,0.0,1.0
61,-37.60521114033986,0.0,1.0
62,-24.03437483622245,0.0,1.0
63,-31.032864880159764,0.0,1.0
64,-22.214921422470884,0.0,1.0
65,-33.768302960116046,0.0,1.0
66,-19.117339363606597,0.0,1.0
67,-27.482011851979163,0.0,1.0
68,-45.96589063944705,0.0,1.0
69,-35.213960883042255,0.0,1.0
70,-34.224260187452025,0.0,1.0
71,-32.60347095880045,0.0,1.0
72,-18.203114536378493,0.0,1.0
73,-20.599025917834464,0.0,1.0
74,-38.73902468497987,0.0,1.0
75,-38.51252674063027,0.0,1.0
76,-18.2797928860127,0.0,1.0
77,-27.30648892946286,0.0,1.0
78,-29.621106718511083,0.0,1.0
79,-16.482724992867183,0.0,1.0
80,-27.768024112331933,0.0,1.0
81,-35.08815396280693,0.0,1.0
82,-36.476303137651385,0.0,1.0
83,-30.737339398122145,0.0,1.0
84,-17.593155197575385,0.0,1.0
85,-27.631055555232894,0.0,1.0
86,-38.39156239517885,0.0,1.0
87,-38.87265741724112,0.0,1.0
88,-38.39391262340277,0.0,1.0
89,-35.2751442679277,0.0,1.0
90,-18.156268195208963,0.0,1.0
91,-33.6955008547081,0.0,1.0
92,-29.973752809872433,0.0,1.0
93,-25.317467046056397,0.0,1.0
94,-23.154486092992013,0.0,1.0
95,-18.75955252979457,0.0,1.0
96,-31.21457997597587,0.0,1.0
97,-36.837703128535985,0.0,1.0
98,-30.356373738771882,0.0,1.0
99,-46.527717430507,0.0,1.0
100,-21.14605724250824,0.0,1.0
101,-21.448631350421987,0.0,1.0
102,-33.61406411727851,0.0,1.0
103,-26.596358943650316,0.0,1.0
104,-25.897422606393263,0.0,1.0
105,-31.214488324356164,0.0,1.0
106,-27.88654837229103,0.0,1.0
107,-34.00430777963715,0.0,1.0
108,-23.87338534680701,0.0,1.0
109,-19.3501380924118,0.0,1.0
110,-23.49246237378263,0.0,1.0
111,-17.335223014986212,0.0,1.0
112,-26.4729087068044,0.0,1.0
113,-21.86619405943428,0.0,1.0
114,-26.364530362696005,0.0,1.0
115,-14.142980747018635,0.0,1.0
116,-31.131691728720245,0.0,1.0
117,-29.732634645863545,0.0,1.0
118,-26.588952707061978,0.0,1.0
119,-26.113060005167608,0.0,1.0
120,-41.332766315318175,0.0,1.0
121,-24.816601092296157,0.0,1.0
122,-26.940762055457792,0.0,1.0
123,-25.193442738941837,0.0,1.0
124,-24.277617911308514,0.0,1.0
125,-19.697521346577876,0.0,1.0
126,-23.775939940783207,0.0,1.0
127,-22.066311570160135,0.0,1.0
128,-27.298598889569124,0.0,1.0
129,-21.693919531731257,0.0,1.0
130,-27.26290248964572,0.0,1.0
131,-32.63075943146939,0.0,1.0
132,-28.227791531129657,0.0,1.0
133,-39.67127071957233,0.0,1.0
134,-32.9175831500447,0.0,1.0
135,-36.34479655946388,0.0,1.0
136,-32.09376510174174,0.0,1.0
137,-35.22423700105971,0.0,1.0
138,-25.400706659164495,0.0,1.0
139,-23.155767897666312,0.0,1.0
140,-29.77495882845115,0.0,1.0
141,-40.927749559048756,0.0,1.0
142,-20.055275041427972,0.0,1.0
143,-19.494620800746272,0.0,1.0
144,-19.391279087396182,0.0,1.0
145,-17.559268136914202,0.0,1.0
146,-22.759540776323906,0.0,1.0
147,-22.05203654547617,0.0,1.0
148,-30.551555637835477,0.0,1.0
149,-24.636691417675113,0.0,1.0
150,-31.315321165487592,0.0,1.0
151,-36.22736198319406,0.0,1.0
152,-29.317885046764562,0.0,1.0
153,-18.041647042113308,0.0,1.0
154,-30.63024118660125,0.0,1.0
155,-17.972976151874136,0.0,1.0
156,-25.818437144369017,0.0,1.0
157,-28.235648775788444,0.0,1.0
158,-29.210377586872898,0.0,1.0
159,-66.7640852417579,0.0,1.0
160,-35.54118150401706,0.0,1.0
161,-21.90039624822599,0.0,1.0
162,-22.395480604503334,0.0,1.0
163,-22.684097069623096,0.0,1.0
164,-30.271000982098244,0.0,1.0
165,-32.04685675914205,0.0,1.0
166,-16.504487192552602,0.0,1.0
167,-23.71841012737436,0.0,1.0
168,-37.85880554387793,0.0,1.0
169,-26.05564879750712,0.0,1.0
170,-26.540685738924683,0.0,1.0
171,-38.513671336152804,0.0,1.0
172,-55.10896399027027,0.0,1.0
173,-20.326326730975783,0.0,1.0
174,-31.310793970215823,0.0,1.0
175,-42.73590952366455,0.0,1.0
176,-22.921035132022812,0.0,1.0
177,-13.442895741294322,0.0,1.0
178,-25.251983292543628,0.0,1.0
179,-29.199028844841624,0.0,1.0
180,-18.53879987658528,0.0,1.0
181,-18.239011329838217,0.0,1.0
182,-28.25230562963021,0.0,1.0
183,-29.798246719253402,0.0,1.0
184,-28.55731054679926,0.0,1.0
185,-17.69616936597612,0.0,1.0
186,-26.009286217318152,0.0,1.0
187,-28.848961168777308,0.0,1.0
188,-17.765111538508364,0.0,1.0
189,-47.58455509285747,0.0,1.0
190,-16.815416640196933,0.0,1.0
191,-37.372933520129074,0.0,1.0
192,-17.439219376902177,0.0,1.0
193,-47.608098393734885,0.0,1.0
194,-35.757640308461255,0.0,1.0
195,-25.292987195520357,0.0,1.0
196,-47.422404700313244,0.0,1.0
197,-38.17871928632757,0.0,1.0
198,-30.84908439654937,0.0,1.0
199,-24.340881907147786,0.0,1.0
200,-18.133966159058094,0.0,1.0
